timestamp,mCi,mPci,mEarfcn,is_known_cellid,cellid_seen_before,tower_switch,num_tower_switches_per_minute,pci_variance,earfcn_switch,earfcn_stability,anomaly_score,is_anomaly
2025-06-08 16:50:45,230960385,25,3350,False,0,1,4.0,17824.249999999985,0,2.0,1,False
2025-06-08 16:51:00,230538036,301,9510,False,1,1,4.0,17027.99999999998,1,2.0,1,False
2025-06-08 16:51:15,230503477,232,9510,False,1,1,4.0,14216.249999999984,0,2.0,1,False
2025-06-08 16:51:30,230538035,293,9510,False,0,1,4.0,16616.24999999998,0,1.0,1,False
2025-06-08 16:51:45,230503477,232,9510,False,1,1,4.0,1418.9999999999754,0,1.0,1,False
2025-06-08 16:52:00,230538035,293,9510,False,1,1,4.0,1240.3333333333087,0,0.0,1,False
2025-06-08 16:52:15,204953621,295,1850,True,0,1,4.0,951.5833333333085,1,1.0,-1,True
2025-06-08 16:52:30,230538035,293,9510,False,1,1,4.0,951.5833333333085,1,2.0,1,False
2025-06-08 16:52:45,230503477,232,9510,False,1,1,4.0,951.5833333333085,0,2.0,1,False
2025-06-08 16:53:00,230960385,25,3350,False,1,1,4.0,16272.249999999973,1,3.0,1,False
2025-06-08 16:53:15,230960385,25,3350,False,1,0,3.0,19422.249999999975,0,2.0,1,False
2025-06-08 16:53:30,230960385,25,3350,False,1,0,2.0,10712.249999999973,0,1.0,1,False
2025-06-08 16:53:45,230960385,25,3350,False,1,0,1.0,0.0,0,1.0,1,False
2025-06-08 16:54:00,230503477,232,9510,False,1,1,1.0,10712.249999999973,1,1.0,1,False
2025-06-08 16:54:15,230503475,216,9510,False,0,1,2.0,13242.999999999973,0,1.0,1,False
2025-06-08 16:54:30,230503476,224,9510,False,0,1,3.0,9942.91666666664,0,1.0,1,False
2025-06-08 16:54:45,258401815,17,1750,False,0,1,4.0,10754.91666666664,1,2.0,1,False
2025-06-08 16:55:00,258402583,453,1750,False,0,1,4.0,31768.333333333303,0,1.0,1,False
2025-06-08 16:55:15,258402583,453,1750,False,1,0,3.0,43993.58333333331,0,1.0,1,False
2025-06-08 16:55:30,258402583,453,1750,False,1,0,2.0,47523.99999999997,0,1.0,1,False
2025-06-08 16:55:45,258402583,453,1750,False,1,0,1.0,0.0,0,0.0,1,False
2025-06-08 16:56:00,258402583,453,1750,False,1,0,0.0,0.0,0,0.0,1,False
2025-06-08 16:56:15,230851636,344,9510,False,0,1,1.0,2970.249999999971,1,1.0,1,False
